Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Balaclava,21/54 Balston St,1,u,328500,S,hockingstuart,8/07/2017,6.4,3183,1,1,1,0,,,Port Phillip City Council,-37.86874,144.998,Southern Metropolitan,2952
Balwyn,1/6 Ruby St,3,t,1270000,PI,VICProp,8/07/2017,7.9,3103,,,,,,,Boroondara City Council,,,Southern Metropolitan,5682
Balwyn North,1/48 Kenny St,4,t,1575000,SA,Fletchers,8/07/2017,9.7,3104,4,2,2,392,,2007,Boroondara City Council,-37.80039,145.0961,Southern Metropolitan,7809
Balwyn North,212/3 Tannock St,2,u,580000,VB,Fletchers,8/07/2017,9.7,3104,,,,,,,Boroondara City Council,,,Southern Metropolitan,7809
Bayswater,15 Edinburgh Rd,5,h,900000,S,LJ,8/07/2017,23.2,3153,5,2,2,942,,,Knox City Council,-37.85721,145.26305,Eastern Metropolitan,5030
Bayswater,85 Farnham Rd,4,h,,SP,Barry,8/07/2017,23.2,3153,3,1,7,773,120,1975,Knox City Council,-37.85164,145.27699,Eastern Metropolitan,5030
Bayswater,1/20 Kumala Rd,2,u,520000,S,Ray,8/07/2017,23.2,3153,2,1,1,158,69,1975,Knox City Council,-37.845,145.25624,Eastern Metropolitan,5030
Beaumaris,9/5 Alfred St,2,u,641000,PI,Purplebricks,8/07/2017,17.3,3193,,,,,,,Bayside City Council,,,Southern Metropolitan,5366
Bentleigh,4/463 South Rd,2,u,380000,PI,Hodges,8/07/2017,11.4,3204,2,1,1,1,62,2011,Glen Eira City Council,-37.9332,145.03794,Southern Metropolitan,6795
Bentleigh East,9a Lois Ct,4,t,,S,Buxton,8/07/2017,13.8,3165,,,,,,,Glen Eira City Council,,,Southern Metropolitan,10969
Berwick,9 Geranium Ct,4,h,920000,S,Peake,8/07/2017,35.2,3806,4,5,2,638,352,2014,Casey City Council,-38.0683,145.33833,Eastern Victoria,17093
Berwick,9 Sunview Pl,4,h,950000,SA,Eview,8/07/2017,35.2,3806,4,4,2,603,391,2007,Casey City Council,-38.06788,145.33967,Eastern Victoria,17093
Blackburn,4 Patricia Rd,3,h,,SN,Noel,8/07/2017,13.4,3130,3,1,2,667,128,1960,Whitehorse City Council,-37.81509,145.14035,Eastern Metropolitan,5713
Blackburn,3/43 The Ridge,2,u,485000,S,Barry,8/07/2017,13.4,3130,2,1,1,0,55,1960,Whitehorse City Council,-37.82945,145.15697,Eastern Metropolitan,5713
Blackburn North,9 Esta St,3,h,,SN,Parkes,8/07/2017,13.4,3130,3,1,3,585,,,Whitehorse City Council,-37.80233,145.14298,Eastern Metropolitan,2867
Blackburn South,24 Sylvia St,3,h,1291000,S,Barry,8/07/2017,13.4,3130,3,2,2,548,127,1970,Whitehorse City Council,-37.84453,145.14446,Eastern Metropolitan,4387
Boronia,8 Darwin Rd,3,h,775000,S,Ray,8/07/2017,25,3155,3,1,2,720,131,1970,Knox City Council,-37.86126,145.25808,Eastern Metropolitan,9704
